date,rf
2020-01-02,6.719980369829237e-05
2020-01-03,9.117368978261986e-05
2020-01-06,-5.324507845416715e-05
2020-01-07,8.948994910795705e-05
2020-01-08,4.209275123767675e-05
2020-01-09,4.2090979512909854e-05
2020-01-10,4.208920793691284e-05
2020-01-13,-2.3132206692588753e-05
2020-01-14,4.2920990817263416e-05
2020-01-15,4.291914868459479e-05
2020-01-16,8.47198781817049e-05
2020-01-17,2.173549573658562e-05
2020-01-21,4.262863189663513e-05
2020-01-22,6.18506724170409e-05
2020-01-23,4.234558903837282e-05
2020-01-24,6.100849550261245e-05
2020-01-27,2.4232734524787247e-05
2020-01-28,7.241791151191279e-06
2020-01-29,6.0162136959140966e-05
2020-01-30,2.562307235121075e-05
2020-01-31,7.631023843890361e-05
2020-02-03,-6.1339019646888815e-06
2020-02-04,4.2937577127366566e-05
2020-02-05,4.293573357094793e-05
2020-02-06,4.29338901728471e-05
2020-02-07,6.60707475528266e-05
2020-02-10,-1.9511613172928932e-06
2020-02-11,6.522466272729233e-05
2020-02-12,2.1182696858357275e-05
2020-02-13,2.173967574448099e-05
2020-02-14,6.466019395823253e-05
2020-02-18,4.3191308236822934e-05
2020-02-19,4.3189442828328595e-05
2020-02-20,4.318757758103864e-05
2020-02-21,8.163492748969325e-05
2020-02-24,9.777842406255566e-05
2020-02-25,4.1781565973009194e-05
2020-02-26,4.177982034692107e-05
2020-02-27,0.00018215240641694663
2020-02-28,0.0003330498511022739
2020-03-02,0.0004110209342018667
2020-03-03,0.0004520765438289498
2020-03-04,0.0005649099331990204
2020-03-05,0.0002618433325392022
2020-03-06,0.0003997559735977596
2020-03-09,0.0003125504001422197
2020-03-10,-0.0002418450946030104
2020-03-11,5.700027304511579e-05
2020-03-12,0.00018934133404724385
2020-03-13,0.00014093668690384753
2020-03-16,7.08742632204995e-05
2020-03-17,0.00011088951735538366
2020-03-18,0.0003548626887031059
2020-03-19,-4.000164451212207e-05
2020-03-20,-1.8890421111916744e-05
2020-03-23,5.889461475416802e-05
2020-03-24,1.944518984342558e-05
2020-03-25,9.333509632947212e-05
2020-03-26,1.7220940218942715e-05
2020-03-27,-0.00014581996650309126
2020-03-30,-0.00015417476084178539
2020-03-31,2.0281969385083087e-05
2020-04-01,5.3070312050707e-05
2020-04-02,2.500562626517322e-06
2020-04-03,-2.194932816990125e-05
2020-04-06,-0.0001153053229382417
2020-04-07,2.750974303400433e-05
2020-04-08,-0.00018061455631057655
2020-04-09,-6.225379873248116e-05
2020-04-13,-1.4730303430465774e-05
2020-04-14,0.00013563196156063384
2020-04-15,0.00013227880815680493
2020-04-16,3.8900386112317165e-06
2020-04-17,4.5013128829207716e-05
2020-04-20,3.3341335254899462e-06
