date,year,month,day,reb
2020-01-02,2020,1,2,1
2020-01-03,2020,1,3,0
2020-01-06,2020,1,6,0
2020-01-07,2020,1,7,0
2020-01-08,2020,1,8,0
2020-01-09,2020,1,9,0
2020-01-10,2020,1,10,0
2020-01-13,2020,1,13,0
2020-01-14,2020,1,14,0
2020-01-15,2020,1,15,0
2020-01-16,2020,1,16,0
2020-01-17,2020,1,17,0
2020-01-21,2020,1,21,0
2020-01-22,2020,1,22,0
2020-01-23,2020,1,23,0
2020-01-24,2020,1,24,0
2020-01-27,2020,1,27,0
2020-01-28,2020,1,28,0
2020-01-29,2020,1,29,0
2020-01-30,2020,1,30,0
2020-01-31,2020,1,31,0
2020-02-03,2020,2,3,1
2020-02-04,2020,2,4,0
2020-02-05,2020,2,5,0
2020-02-06,2020,2,6,0
2020-02-07,2020,2,7,0
2020-02-10,2020,2,10,0
2020-02-11,2020,2,11,0
2020-02-12,2020,2,12,0
2020-02-13,2020,2,13,0
2020-02-14,2020,2,14,0
2020-02-18,2020,2,18,0
2020-02-19,2020,2,19,0
2020-02-20,2020,2,20,0
2020-02-21,2020,2,21,0
2020-02-24,2020,2,24,0
2020-02-25,2020,2,25,0
2020-02-26,2020,2,26,0
2020-02-27,2020,2,27,0
2020-02-28,2020,2,28,0
2020-03-02,2020,3,2,1
2020-03-03,2020,3,3,0
2020-03-04,2020,3,4,0
2020-03-05,2020,3,5,0
2020-03-06,2020,3,6,0
2020-03-09,2020,3,9,0
2020-03-10,2020,3,10,0
2020-03-11,2020,3,11,0
2020-03-12,2020,3,12,0
2020-03-13,2020,3,13,0
2020-03-16,2020,3,16,0
2020-03-17,2020,3,17,0
2020-03-18,2020,3,18,0
2020-03-19,2020,3,19,0
2020-03-20,2020,3,20,0
2020-03-23,2020,3,23,0
2020-03-24,2020,3,24,0
2020-03-25,2020,3,25,0
2020-03-26,2020,3,26,0
2020-03-27,2020,3,27,0
2020-03-30,2020,3,30,0
2020-03-31,2020,3,31,0
2020-04-01,2020,4,1,1
2020-04-02,2020,4,2,0
2020-04-03,2020,4,3,0
2020-04-06,2020,4,6,0
2020-04-07,2020,4,7,0
2020-04-08,2020,4,8,0
2020-04-09,2020,4,9,0
2020-04-13,2020,4,13,0
2020-04-14,2020,4,14,0
2020-04-15,2020,4,15,0
2020-04-16,2020,4,16,0
2020-04-17,2020,4,17,0
2020-04-20,2020,4,20,0
2020-04-21,2020,4,21,0
2020-04-22,2020,4,22,0
2020-04-23,2020,4,23,0
2020-04-24,2020,4,24,0
2020-04-27,2020,4,27,0
2020-04-28,2020,4,28,0
2020-04-29,2020,4,29,0
2020-04-30,2020,4,30,0
2020-05-01,2020,5,1,1
2020-05-04,2020,5,4,0
2020-05-05,2020,5,5,0
2020-05-06,2020,5,6,0
2020-05-07,2020,5,7,0
2020-05-08,2020,5,8,0
2020-05-11,2020,5,11,0
2020-05-12,2020,5,12,0
2020-05-13,2020,5,13,0
2020-05-14,2020,5,14,0
2020-05-15,2020,5,15,0
2020-05-18,2020,5,18,0
2020-05-19,2020,5,19,0
2020-05-20,2020,5,20,0
2020-05-21,2020,5,21,0
2020-05-22,2020,5,22,0
2020-05-26,2020,5,26,0
2020-05-27,2020,5,27,0
2020-05-28,2020,5,28,0
2020-05-29,2020,5,29,0
2020-06-01,2020,6,1,1
2020-06-02,2020,6,2,0
2020-06-03,2020,6,3,0
2020-06-04,2020,6,4,0
2020-06-05,2020,6,5,0
2020-06-08,2020,6,8,0
2020-06-09,2020,6,9,0
2020-06-10,2020,6,10,0
2020-06-11,2020,6,11,0
2020-06-12,2020,6,12,0
2020-06-15,2020,6,15,0
2020-06-16,2020,6,16,0
2020-06-17,2020,6,17,0
2020-06-18,2020,6,18,0
2020-06-19,2020,6,19,0
2020-06-22,2020,6,22,0
2020-06-23,2020,6,23,0
2020-06-24,2020,6,24,0
2020-06-25,2020,6,25,0
2020-06-26,2020,6,26,0
2020-06-29,2020,6,29,0
2020-06-30,2020,6,30,0
2020-07-01,2020,7,1,1
2020-07-02,2020,7,2,0
2020-07-06,2020,7,6,0
2020-07-07,2020,7,7,0
2020-07-08,2020,7,8,0
2020-07-09,2020,7,9,0
